comment_id,sentence_idx_in_comment,sentence,label,source
0,0,It's because Europeans do not want to change their way of life and their customs and what makes them European.,0,threat_corpus
0,1,The Muslims there do not want to assimilate properly into European societies and even call for Sharia law.,0,threat_corpus
0,2,"But it's ok....because Europe will soon rebel against them, just like in Spain and they will drive them out or they will be killed.",1,threat_corpus
0,3,"I forsee a big civil war in Europe in the future, because the Muslims will not leave quietly.",0,threat_corpus
1,0,"ISLAM – A Simple, Humanitarian and Attractive Religion",0,threat_corpus
1,1,WELCOME TO ISLAM..,0,threat_corpus
1,2,AND PLEASE READ THE QURAN.,0,threat_corpus
1,3,"“Islam had the power of peacefully conquering souls by the simplicity of its theology, the clearness of its dogma and principles, and the definite number of the practices which it demands.",0,threat_corpus
1,4,"In contrast to Christianity which has been undergoing continual transformation since its origin, Islam has remained identical with itself.”",0,threat_corpus
1,5,"(Jean L’heureux, Etude sur L’Islamisme P.35)",0,threat_corpus
2,0,"ISLAM has overtaken Roman Catholicism as the biggest single religious denomination in the world, according to new figures.",0,threat_corpus
2,1,"In its newly-released 2008 yearbook of statistics, the Vatican claims Muslims now make up 19.2 per cent of the world's population with Catholics at 17.4 per cent.(2012-MUSLIM 22.7%, CATHOLIC 18.8%)",0,threat_corpus
2,2,"In the Vatican newspaper, L'Osservatore Romano, Monsignor Vittorio Formenti, wrote: ""For the first time in history we are no longer at the top: the Muslims have overtaken us.""",0,threat_corpus
3,0,All it means is there will be more of you to kill.,1,threat_corpus
4,0,People should know when they are conquered ...,0,threat_corpus
5,0,"Well, you guys came to our lands and colonized our lands and robbed us from our golds, oil and everything else, now is a pay back time.",0,threat_corpus
5,1,"Have you heard of ""pay back is bitch?"" or, ""what goes around comes around?"" or ""be aware of Karma,"" or ""You ain't see nothing yet."" or ""your behind is mine!?""",0,threat_corpus
6,0,Ever hear of the swiss minaret ban?,0,threat_corpus
6,1,HEHE Anyways this video is 100% bs muslim birth rate is falling A LOT faster than western.,0,threat_corpus
6,2,Countries like Turkey and Lebanon have below replacement fertility.,0,threat_corpus
6,3,Don't think any of this will be able to happen anyway.,0,threat_corpus
7,0,"Lol, ever heard about the Reconquest of Spain?",0,threat_corpus
7,1,Read up about it.,0,threat_corpus
8,0,"GOOGLE ""Surge in Britons converting to Islam:TELEGRAPH""",0,threat_corpus
8,1,"White women lead a wave of Britons embracing Islam, with a 50 per cent rise in converts living in this country in a decade according to a new report.",0,threat_corpus
8,2,"ALSO ""WHY ARE SO MANY MODERN BRITISH CAREER WOMEN CONVERTING TO ISLAM:DAILYMAIL"".",0,threat_corpus
8,3,"ALSO ""GERMAN PRIEST BURNS HIMSELF TO PROTEST THE SPREAD OF ISLAM"".",0,threat_corpus
9,0,I laughed when they said that muslims family have 8.1 children xD the reality is more like 2-3..,0,threat_corpus
10,0,I'm european and I agree.,0,threat_corpus
11,0,"ISLAM – A Simple, Humanitarian and Attractive Religion",0,threat_corpus
11,1,WELCOME TO ISLAM..,0,threat_corpus
11,2,AND PLEASE READ THE QURAN.,0,threat_corpus
11,3,"“Islam had the power of peacefully conquering souls by the simplicity of its theology, the clearness of its dogma and principles, and the definite number of the practices which it demands.",0,threat_corpus
11,4,"In contrast to Christianity which has been undergoing continual transformation since its origin, Islam has remained identical with itself.”",0,threat_corpus
11,5,"(Jean L’heureux, Etude sur L’Islamisme P.35)",0,threat_corpus
12,0,"I just hope when multiculturalism proves to be a real fail the plug will be pulled everywhere, if not then time to kill your government.",1,threat_corpus
13,0,YOU REPRESENT THE EVIL VOICE OF THE LOUD MINORITY.,0,threat_corpus
13,1,"THE SILENCE MAJORITY IS WITH ISLAM, THE PEACEFULL AND TOLERANCE RELIGION.",0,threat_corpus
13,2,"LOOK AT GEERT WILDER, EUROPE MOST OUT SPOKEN ANTI ISLAM, ANTI IMMIGRANT POLITICIAN LOST THE ELECTION, REJECTED BY HIS OWN PEOPLE..???!!!",0,threat_corpus
14,0,You do realize muslims have been kicked out before?,0,threat_corpus
14,1,History repeats itself.,0,threat_corpus
14,2,Also why don't you go walk through Russia or Eastern Europe late at night.,0,threat_corpus
15,0,"ISLAM has overtaken Roman Catholicism as the biggest single religious denomination in the world, according to new figures.",0,threat_corpus
